,score,id1,id2
28453996,100,6351,5913
28367430,100,6411,6154
21395273,100,3865,3558
14665354,100,2395,2143
27330264,100,5843,5447
21119133,100,3708,3854
29306834,100,6990,6609
14654322,100,2392,2362
28091082,100,6268,6497
29649985,100,7642,7235
22828245,100,4299,4078
29173211,100,7052,6763
28525468,100,6396,6054
28343942,100,6434,5892
19203629,100,3346,3472
24719835,100,4749,4748
25991335,100,5313,4851
14692756,100,2400,2273
4005180,100,593,514
28523897,100,6395,6047
28433146,100,6450,6097
21268113,100,3846,3556
13163144,100,2125,2082
29693132,100,7635,7203
14851457,100,2373,2183
17761313,100,3086,2806
25952962,100,5263,4950
28375447,100,6416,6342
19608356,99,3451,3429
29700013,99,7608,7106
26167252,99,5248,4891
26169936,99,5247,4882
29015368,99,6875,7069
29308918,99,6992,6636
26164618,99,5249,4912
28385685,99,6459,6042
29698739,99,7612,7111
24479176,99,4764,4808
28442848,99,6400,6088
28537852,99,6366,5923
28354061,99,6403,6109
29291917,99,7013,6672
27352340,99,5807,5588
2726785,99,392,410
6462234,99,986,886
25560131,99,5147,5310
13007273,99,2031,2122
17829867,99,3062,2843
29691800,99,7631,7174
23001801,99,4309,4105
5594381,99,836,777
28431254,99,6449,5970
27460523,99,5805,5580
26210002,99,5232,4820
26175286,99,5245,4879
27500792,99,5781,5410
29619191,99,7422,7252
29304955,99,6987,6607
29293768,99,6999,6654
29312443,99,6988,6615
26196676,99,5237,4836
2135499,99,325,294
15796690,99,2640,2714
21173065,99,3722,3856
29657561,99,7678,7400
21284663,99,3842,3516
14289518,99,2326,2385
28468410,99,6353,5910
28365766,99,6410,6152
29619331,99,7415,7703
12786694,99,2060,2114
25925331,99,5273,5052
13070855,99,2109,2124
26177949,99,5244,4888
27354551,99,5806,5578
21292858,99,3840,3498
28539378,99,6367,5932
29217091,99,7076,6946
29697803,99,7609,7108
28384049,99,6458,6095
25689334,99,5166,5302
29672942,99,7637,7217
6441683,99,983,966
28104818,99,6260,6466
29688832,99,7622,7151
22846876,99,4294,4046
28501749,99,6362,5899
13191942,99,2130,2100
10183439,99,1576,1639
18150195,99,3007,3124
29649569,99,7641,7225
27492473,99,5784,5456
28990915,99,6882,7054
13128690,99,2119,1995
28092115,99,6286,6456
29225406,99,7063,6620
13232218,99,2137,1924
6304931,99,924,982
27010154,99,5709,5839
24531269,99,4809,4454
24299153,99,4574,4768
22898628,99,4280,3971
28258747,99,6235,6455
28512943,99,6388,6030
3326260,99,491,437
7427895,99,1124,1047
14747599,99,2375,2198
29664191,99,7698,7161
28514510,99,6389,6027
29227645,99,7056,6661
11662075,99,1864,1756
11764157,99,1863,1753
7200111,99,1087,1117
27475304,99,5776,5397
29163417,99,7043,6543
28416706,99,6440,5884
28517494,99,6391,5902
3918977,99,605,590
24550631,99,4802,4480
29604119,99,7433,7713
25629246,99,5187,5311
29266569,99,6976,6545
29182774,99,7022,6713
24598797,99,4787,4523
19644333,99,3467,3440
28349013,99,6418,5922
29650437,99,7643,7243
28195980,99,6199,6453
26951376,99,5701,5841
29688141,99,7620,7132
11800087,99,1870,1664
24540941,99,4806,4466
27317228,99,5845,5480
13088290,99,2112,1937
27428279,99,5772,5359
29229595,99,7067,6728
7454616,99,1120,1031
29290969,99,7012,6681
19176063,99,3348,3471
8353447,99,1272,1251
25972231,99,5257,4939
21193743,99,3717,3855
8770079,99,1140,1185
29172156,99,7051,6663
28262188,99,6237,6446
24433856,99,4778,4530
5552655,99,842,782
16221286,99,2721,2673
10501186,99,1635,1494
28119239,98,6269,6464
27297067,98,5868,5764
24430582,98,4779,4362
28547150,98,6372,5944
29651970,98,7646,7256
29646117,98,7672,7370
29221549,98,7059,6686
3202504,98,462,494
28544069,98,6370,5926
29653704,98,7650,7275
28388926,98,6461,6172
29689174,98,7623,7163
20863932,98,3747,3859
29644711,98,7669,7329
2601770,98,306,418
3355343,98,487,441
29208058,98,7085,6762
27173735,98,5632,5863
29185950,98,7025,6742
3954928,98,600,504
29124722,98,6853,7077
26145838,98,5255,4932
14272840,98,2323,2390
9393762,98,1444,1340
2564809,98,311,394
3224371,98,469,488
25966727,98,5258,4945
22876393,98,4286,3985
1515200,98,174,247
12833253,98,2069,2117
29666743,98,7681,7380
27473262,98,5775,5371
26029635,98,5299,5012
29635096,98,7455,7708
10507391,98,1636,1496
27223749,98,5830,5572
24295830,98,4575,4777
28095753,98,6253,6454
19585994,98,3456,3216
29671934,98,7694,7247
29623332,98,7470,7668
11722100,98,1856,1695
8307699,98,1278,1196
28457212,98,6352,5914
29303028,98,6986,6585
29012944,98,6873,7068
28460379,98,6355,5908
27266172,98,5822,5356
21280544,98,3843,3521
27248338,98,5814,5555
29251753,98,6972,6525
29650855,98,7644,7178
29641030,98,7661,7332
15844218,98,2631,2713
25766465,98,5075,5800
29253746,98,6974,6527
29082758,98,6816,6968
28556364,97,6378,5992
29292850,97,7014,6690
29298286,97,6981,6573
29079253,97,6813,7084
3333504,97,490,460
25175492,97,4449,5280
27162435,97,5635,5846
6318632,97,927,993
28998172,97,6936,7093
29655913,97,7655,7314
29666306,97,7680,7388
27166945,97,5637,5811
29645615,97,7671,7361
29633184,97,7451,7710
29611061,97,7407,7676
29250699,97,6971,6507
29068792,97,6789,7033
28342176,97,6433,5972
6455401,97,985,915
28406990,97,6472,6164
12740083,97,2043,2123
29672739,97,7638,7250
20881018,97,3743,3595
29198560,97,7055,6541
27075334,97,5614,5808
29583036,97,7551,7683
28429764,97,6448,5921
29647428,97,7659,7346
27488056,97,5782,5411
29123590,97,6852,7078
26161918,97,5250,4906
27436975,97,5794,5473
28187142,97,6251,6457
3998007,97,594,551
11752155,97,1861,1746
3318996,97,492,453
21260059,97,3848,3617
26918155,97,5682,5837
29693489,97,7628,7170
28533047,97,6379,5977
26100016,97,5209,5246
26199352,97,5236,4825
28545606,97,6371,5928
6188391,97,946,987
17820133,97,3064,2848
27481678,97,5779,5408
22909733,97,4289,3990
21358428,97,3874,3828
26963165,97,5733,5838
29300217,97,6983,6589
29692455,97,7633,7195
27471147,97,5774,5364
22976215,97,4316,3992
25955724,97,5262,4942
29640566,96,7660,7333
4632731,96,671,713
25947452,96,5265,4949
3637920,96,449,559
26934777,96,5675,5840
26040520,96,5295,5025
29651268,96,7645,7249
28466807,96,6359,5889
29565915,96,7503,7711
27496578,96,5786,5453
14862369,96,2371,2182
29665856,96,7679,7403
24515081,96,4783,4511
9444759,96,1443,1325
21288684,96,3841,3560
26908691,96,5693,5854
12960956,96,2022,2121
29656209,96,7648,7130
29647006,96,7674,7393
468702,96,61,130
28303249,96,6223,6469
10563196,96,1645,1469
19554250,96,3491,3433
27061442,95,5620,5855
12548151,95,1705,2772
24285954,95,4579,4805
9259464,95,1381,1449
29116868,95,6846,7079
